X,Y,Name,Description
120.738335,14.273334,Layong Mabilog Elem. School,Latitude: 14.273334<br>Longitude: 120.738335<br>Town/City: Maragondon<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
120.738335,14.273334,Mabato Elem. School,Latitude: 14.273334<br>Longitude: 120.738335<br>Town/City: Maragondon<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
120.729786,14.271306,Pinagsanhan Elem. School,Latitude: 14.271306<br>Longitude: 120.729786<br>Town/City: Maragondon<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
120.738335,14.273334,Sta. Mercedes Elem. School,Latitude: 14.273334<br>Longitude: 120.738335<br>Town/City: Maragondon<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
120.738335,14.273334,Talipusngo Elem. School,Latitude: 14.273334<br>Longitude: 120.738335<br>Town/City: Maragondon<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
120.738335,14.273334,Tulay Elem. School,Latitude: 14.273334<br>Longitude: 120.738335<br>Town/City: Maragondon<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
120.9680032,14.2043743,Gymnasium,Latitude: 14.2043743<br>Longitude: 120.9680032<br>Town/City: Mendez<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Gym<br>Status of Center (Open/Closed): <br>Last Updated: 
121.060003,14.08726,Barangay Hall,Latitude: 14.08726<br>Longitude: 121.060003<br>Town/City: Mendez<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.060003,14.08726,Barangay Hall,Latitude: 14.08726<br>Longitude: 121.060003<br>Town/City: Mendez<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.060003,14.08726,Barangay Hall,Latitude: 14.08726<br>Longitude: 121.060003<br>Town/City: Mendez<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.060003,14.08726,Barangay Hall,Latitude: 14.08726<br>Longitude: 121.060003<br>Town/City: Mendez<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.060003,14.08726,Barangay Hall,Latitude: 14.08726<br>Longitude: 121.060003<br>Town/City: Mendez<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.060003,14.08726,Barangay Hall,Latitude: 14.08726<br>Longitude: 121.060003<br>Town/City: Mendez<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.060003,14.08726,Barangay Hall,Latitude: 14.08726<br>Longitude: 121.060003<br>Town/City: Mendez<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.060003,14.08726,Barangay Hall,Latitude: 14.08726<br>Longitude: 121.060003<br>Town/City: Mendez<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
120.9680032,14.2043743,Gymnasium,Latitude: 14.2043743<br>Longitude: 120.9680032<br>Town/City: Mendez<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Gym<br>Status of Center (Open/Closed): <br>Last Updated: 
